city,city_query,aqi,timestamp
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",delhi,145,2026-04-04 23:56
"Kurla, Mumbai, India",mumbai,95,2026-04-04 23:56
"Royapuram, Chennai, Chennai, India",chennai,36,2026-04-04 23:56
"Hombegowda Nagar, Bengaluru, India",bangalore,153,2026-04-04 23:57
"Somajiguda, Hyderabad, India",hyderabad,85,2026-04-04 23:57
"Ballygunge, Kolkata, India",kolkata,121,2026-04-04 23:57
"Shivajinagar, Pune, Pune, India",pune,232,2026-04-04 23:57
"Maninagar, Ahmedabad, India",ahmedabad,104,2026-04-04 23:57
"Police Commissionerate, Jaipur, India",jaipur,153,2026-04-04 23:57
"Central School, Lucknow, India",lucknow,94,2026-04-04 23:57
"Sector 22, Chandigarh, India",chandigarh,62,2026-04-04 23:57
"T T Nagar, Bhopal, India",bhopal,158,2026-04-04 23:57
"IGSC Planetarium Complex, Patna, India",patna,79,2026-04-04 23:57
"Opp GPO Civil Lines, Nagpur, India",nagpur,162,2026-04-04 23:57
"SIDCO Kurichi, Coimbatore, India",coimbatore,75,2026-04-04 23:57
